1,29,37,28,38
2,29,34,28,35
3,29,31,28,32
4,29,28,28,29
5,29,25,28,26
6,29,16,28,17
7,29,13,28,14
8,23,13,22,14
9,23,16,22,17
10,26,22,25,23
11,23,25,22,26
12,23,28,22,29
13,23,31,22,32
14,23,34,22,35
15,20,13,19,14
16,20,25,19,26
17,20,28,19,29
18,20,31,19,32
19,20,34,19,35
20,17,10,16,11
21,17,13,16,14
22,17,16,16,17
23,17,22,16,23
24,17,28,16,29
25,17,31,16,32
26,17,34,16,35
27,17,37,16,38
28,14,37,13,38
29,14,34,13,35
30,14,31,13,32
31,14,28,13,29
32,14,22,13,23
33,14,16,13,17
34,14,13,13,14
35,14,10,13,11
36,14,7,13,8
37,11,7,10,8
38,11,10,10,11
39,11,22,10,23
40,11,28,10,29
41,11,31,10,32
42,11,34,10,35
43,11,37,10,38
44,8,7,7,8
45,8,10,7,11
56,8,13,7,14
57,8,19,7,20
58,5,7,4,8
59,5,10,4,11
50,5,19,4,20
51,5,22,4,23
52,5,28,4,29
53,5,31,4,32
54,5,34,4,35
55,5,37,4,38
56,2,7,1,8
57,2,10,1,11
58,2,19,1,20
59,2,22,1,23
60,2,28,1,29
61,2,31,1,32
62,2,34,1,35
63,2,37,1,38
