1,4,13,3,14
2,8,13,7,14
3,10,13,9,14
4,22,13,21,14
5,24,13,23,14
6,24,11,23,12
7,24,9,23,10
8,24,7,23,8
9,22,8,21,9
10,22,11,21,12
11,24,16,23,17
12,22,16,21,17
13,20,16,19,17
14,10,16,9,17
15,8,16,7,17
16,22,19,21,20
17,20,19,19,20
18,22,21,21,22
19,20,21,19,22
20,10,21,9,22
21,8,21,7,22
22,6,21,5,22
23,22,24,21,25
24,20,24,19,25
25,22,26,21,27
26,20,26,19,27
27,22,28,21,29
28,20,28,19,29
29,24,30,23,31
30,22,30,21,31
31,20,30,19,31
32,18,30,17,31
33,16,30,15,31
34,14,30,13,31
35,12,30,11,31
36,10,30,9,31
37,8,30,7,31
38,6,30,5,31
39,4,30,3,31
