1,2,26,1,27
2,4,26,3,27
3,6,26,5,27
4,8,26,7,27
5,10,26,9,27
6,12,26,11,27
7,14,26,13,27
8,16,26,15,27
9,18,26,17,27
10,20,26,19,27
11,22,26,21,27
12,24,26,23,27
13,26,26,25,27
14,28,26,27,27
15,34,26,33,27
16,36,24,35,25
17,28,23,27,24
18,26,23,25,24
19,24,23,23,24
20,22,23,21,24
21,20,23,19,24
22,18,23,17,24
23,16,23,15,24
24,14,23,13,24
25,12,23,11,24
26,10,23,9,24
27,8,23,7,24
28,6,23,5,24
29,4,23,3,24
30,2,23,1,24
31,2,21,1,22
32,4,21,3,22
33,6,21,5,22
34,8,21,7,22
35,10,21,9,22
36,12,21,11,22
37,14,21,13,22
38,16,21,15,22
39,18,21,17,22
40,20,18,19,19
41,22,18,21,19
42,24,18,23,19
43,26,18,25,19
44,28,18,27,19
45,30,18,29,19
46,32,18,31,19
47,34,16,33,17
48,32,16,31,17
49,30,16,29,17
50,28,16,27,17
51,26,16,25,17
52,24,16,23,17
53,22,16,21,17
54,20,16,19,17
55,20,14,19,15
56,22,14,21,15
57,24,14,23,15
58,26,14,25,15
59,28,14,27,15
60,30,14,29,15
61,32,14,31,15
62,34,14,33,15
63,36,14,35,15
64,32,12,31,13
65,28,12,27,13
66,24,12,23,13
67,20,12,19,13
68,20,10,19,11
69,22,10,21,11
70,24,10,23,11
71,26,10,25,11
72,28,10,27,11
73,28,7,27,8
74,26,7,25,8
75,24,7,23,8
76,22,7,21,8
77,20,7,19,8
