1,22,25,21,26
2,18,25,17,26
3,14,25,13,26
4,14,23,13,24
5,18,22,17,23
6,22,22,21,23
7,18,19,17,20
8,16,19,15,20
9,14,19,13,20
10,2,17,1,18
11,4,17,3,18
12,6,17,5,18
13,8,17,7,18
14,10,17,9,18
15,12,17,11,18
16,14,17,13,18
17,16,17,15,18
18,18,17,17,18
19,20,17,19,18
20,22,17,21,18
21,22,14,21,15
22,20,14,19,15
23,18,14,17,15
24,16,14,15,15
25,14,14,13,15
26,12,14,11,15
27,10,14,9,15
28,8,14,7,15
29,6,14,5,15
30,4,14,3,15
31,2,14,1,15
32,2,12,1,13
33,4,12,3,13
34,6,12,5,13
35,8,12,7,13
36,10,12,9,13
37,12,12,11,13
38,14,12,13,13
39,16,12,15,13
40,18,12,17,13
41,20,12,19,13
42,22,12,21,13
43,8,10,7,11
44,6,10,5,11
45,2,8,1,9
46,4,8,3,9
47,10,8,9,9
48,12,8,11,9
49,14,8,13,9
50,16,8,15,9
51,18,8,17,9
52,20,8,19,9
53,22,8,21,9
